,2018-09-29,2019-09-28,2020-09-26,2021-09-25,2022-09-24
symbol,AAPL,AAPL,AAPL,AAPL,AAPL
reportedCurrency,USD,USD,USD,USD,USD
cik,0000320193,0000320193,0000320193,0000320193,0000320193
fillingDate,2018-11-05,2019-10-31,2020-10-30,2021-10-29,2022-10-28
acceptedDate,2018-11-05 08:01:40,2019-10-30 18:12:36,2020-10-29 18:06:25,2021-10-28 18:04:28,2022-10-27 18:01:14
calendarYear,2018,2019,2020,2021,2022
period,FY,FY,FY,FY,FY
netIncome,59531000000,55256000000,57411000000,94680000000,99803000000
depreciationAndAmortization,10903000000,12547000000,11056000000,11284000000,11104000000
deferredIncomeTax,-32590000000,-340000000,-215000000,-4774000000,895000000
stockBasedCompensation,5340000000,6068000000,6829000000,7906000000,9038000000
changeInWorkingCapital,34694000000,-3488000000,5690000000,-4911000000,1200000000
accountsReceivables,-5322000000,245000000,6917000000,-10125000000,-1823000000
inventory,828000000,-289000000,-127000000,-2642000000,1484000000
accountsPayables,9175000000,-1923000000,-4062000000,12326000000,9448000000
otherWorkingCapital,30013000000,-1521000000,2962000000,-4470000000,-7909000000
otherNonCashItems,-444000000,-652000000,-97000000,-147000000,111000000
netCashProvidedByOperatingActivities,77434000000,69391000000,80674000000,104038000000,122151000000
investmentsInPropertyPlantAndEquipment,-13313000000,-10495000000,-7309000000,-11085000000,-10708000000
acquisitionsNet,-721000000,-624000000,-1524000000,-33000000,-306000000
purchasesOfInvestments,-73227000000,-40631000000,-115148000000,-109558000000,-76923000000
salesMaturitiesOfInvestments,104072000000,98724000000,120483000000,106483000000,67363000000
otherInvestingActivites,-745000000,-1078000000,-791000000,-352000000,-1780000000
netCashUsedForInvestingActivites,16066000000,45896000000,-4289000000,-14545000000,-22354000000
debtRepayment,-6500000000,-8805000000,-13592000000,-8750000000,-9543000000
commonStockIssued,669000000,781000000,880000000,1105000000,0
commonStockRepurchased,-72738000000,-66897000000,-72358000000,-85971000000,-89402000000
dividendsPaid,-13712000000,-14119000000,-14081000000,-14467000000,-14841000000
otherFinancingActivites,4405000000,-1936000000,12331000000,14730000000,3037000000
netCashUsedProvidedByFinancingActivities,-87876000000,-90976000000,-86820000000,-93353000000,-110749000000
effectOfForexChangesOnCash,0,0,0,0,0
netChangeInCash,5624000000,24311000000,-10435000000,-3860000000,-10952000000
cashAtEndOfPeriod,25913000000,50224000000,39789000000,35929000000,24977000000
cashAtBeginningOfPeriod,20289000000,25913000000,50224000000,39789000000,35929000000
operatingCashFlow,77434000000,69391000000,80674000000,104038000000,122151000000
capitalExpenditure,-13313000000,-10495000000,-7309000000,-11085000000,-10708000000
freeCashFlow,64121000000,58896000000,73365000000,92953000000,111443000000
link,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
startPeriod,2017-09-29,2018-09-29,2019-09-28,2020-09-26,2021-09-25
endPeriod,2018-09-29,2019-09-28,2020-09-26,2021-09-25,2022-09-24
high,57.42,58.37,137.98,157.26,182.94
low,37.56,35.5,53.15,107.32,129.04
average,45.56,48.0,80.69,131.02,158.62
